fecha,hora,localizacion,numero,tipo_accidente,tipo_vehiculo,tipo_persona,rango_edad,sexo,longitude,latitude,geohash,road_info,postcode,road,formatted,latitude_api,longitude_api,road_name_speed_api,hora_accidente,int_real,ocupacion,vmed,high_speed_point,hora_rango,flag,pred_lesividad_grave
1,10,12,12,1,2,1,7,2,-3.6118713797025865,40.4225589065635,12,12,28037.0,12,12,40.4224269,-3.6119493,12,11,19.0633484162896,0.746606334841629,0.0,0,8,0,0.0
1,10,12,12,1,2,1,9,2,-3.6118713797025865,40.4225589065635,12,12,28037.0,12,12,40.4224269,-3.6119493,12,11,19.0633484162896,0.746606334841629,0.0,0,8,0,0.0
1,10,12,12,1,2,2,2,2,-3.6118713797025865,40.4225589065635,12,12,28037.0,12,12,40.4224269,-3.6119493,12,11,19.0633484162896,0.746606334841629,0.0,0,8,0,0.0
1,11,13,13,5,4,1,7,2,-3.67901758029464,40.438365036066905,13,13,28006.0,13,13,40.4383969,-3.6788086,13,12,93.36764705882354,3.2879256965944275,75.89,0,17,0,0.0
1,11,13,13,5,2,1,9,1,-3.67901758029464,40.438365036066905,13,13,28006.0,13,13,40.4383969,-3.6788086,13,12,93.36764705882354,3.2879256965944275,75.89,0,17,0,
1,11,13,13,5,2,1,1,2,-3.67901758029464,40.438365036066905,13,13,28006.0,13,13,40.4383969,-3.6788086,13,12,93.36764705882354,3.2879256965944275,75.89,0,17,0,0.0
1,11,13,13,5,2,2,11,1,-3.67901758029464,40.438365036066905,13,13,28006.0,13,13,40.4383969,-3.6788086,13,12,93.36764705882354,3.2879256965944275,75.89,0,17,0,
1,11,13,13,5,2,2,3,2,-3.67901758029464,40.438365036066905,13,13,28006.0,13,13,40.4383969,-3.6788086,13,12,93.36764705882354,3.2879256965944275,75.89,0,17,0,0.0
1,12,14,14,3,2,1,8,2,-3.741523089158084,40.40894847567486,14,14,28011.0,14,14,40.4089378,-3.7415843,14,13,18.507085020242915,1.3252032520325203,60.91,0,9,0,0.0
1,13,15,15,2,2,1,6,3,-3.699476852132957,40.40285940851019,15,15,28012.0,15,15,40.4026991,-3.6997514,15,14,27.62076271186441,1.3130434782608695,72.94,0,9,0,0.0
1,13,15,15,2,2,1,6,3,-3.699476852132957,40.40285940851019,15,15,28012.0,15,15,40.4026991,-3.6997514,15,14,27.62076271186441,1.3130434782608695,72.94,0,9,0,0.0
1,14,16,9,3,2,1,6,3,-3.6535979567889454,40.39639355164252,16,16,28038.0,16,16,40.3963605,-3.6536121,16,15,41.16393442622951,1.87292817679558,73.41,0,7,0,0.0
1,14,16,9,3,5,1,6,3,-3.6535979567889454,40.39639355164252,16,16,28038.0,16,16,40.3963605,-3.6536121,16,15,41.16393442622951,1.87292817679558,73.41,0,7,0,
1,15,17,16,5,2,1,10,2,-3.717194219385032,40.3980154985408,17,17,28019.0,17,17,40.3979761,-3.7173624,17,16,24.98165137614679,2.4326018808777428,63.25,0,10,0,0.0
1,15,17,16,5,2,1,6,3,-3.717194219385032,40.3980154985408,17,17,28019.0,17,17,40.3979761,-3.7173624,17,16,24.98165137614679,2.4326018808777428,63.25,0,10,0,0.0
1,15,17,16,5,2,1,6,3,-3.717194219385032,40.3980154985408,17,17,28019.0,17,17,40.3979761,-3.7173624,17,16,24.98165137614679,2.4326018808777428,63.25,0,10,0,
1,10,18,17,6,2,1,9,2,-3.671360622943404,40.48380678416666,18,18,28036.0,18,18,40.483766,-3.67134,18,17,28.54052197802197,1.7664835164835164,78.62,1,8,0,0.0
1,16,19,18,3,2,1,8,2,-3.713159319758506,40.41713479284187,19,19,28013.0,19,19,40.4170818,-3.7127379,19,18,39.95973154362416,2.9444444444444446,65.0,0,8,0,0.0
1,14,20,11,1,4,1,3,2,-3.741930593245143,40.372759156729735,20,20,28054.0,20,20,40.3728449,-3.7419131,20,19,28.37461059190031,2.5079872204472844,64.5,0,7,0,0.0
1,14,20,11,1,2,1,9,2,-3.741930593245143,40.372759156729735,20,20,28054.0,20,20,40.3728449,-3.7419131,20,19,28.37461059190031,2.5079872204472844,64.5,0,7,0,
1,14,20,11,1,2,2,8,1,-3.741930593245143,40.372759156729735,20,20,28054.0,20,20,40.3728449,-3.7419131,20,19,28.37461059190031,2.5079872204472844,64.5,0,7,0,
1,17,21,19,2,2,1,9,2,-3.650452799679431,40.38822122558081,21,21,28018.0,21,21,40.3882187,-3.6504478,21,20,47.73108108108108,2.308108108108108,74.29,0,11,0,
1,17,21,19,2,2,1,10,2,-3.650452799679431,40.38822122558081,21,21,28018.0,21,21,40.3882187,-3.6504478,21,20,47.73108108108108,2.308108108108108,74.29,0,11,0,
